symbol,ls,snapshotTime,status,price,marketCap,currentPrice,peRatio,vol10dayAvg,vol_TODC,priceChgPct,breaksAbove10DayAvg,breaksAbove50MA,breaksAbove200MA,breaksBelow50MA,breaksBelow200MA,scoreVol,scoreGaps,scoreRTM,score_1D,validAv_1D
WTTR,LONG,2025-03-21 13:23:14,DAILY_TA,9.92,1215.101,10.14,33.70562,1.90638,0.0,-2.0,False,False,False,False,False,90.71,0.0,3.6,31.44,0.0
MCW,LONG,2025-03-21 13:23:14,DAILY_TA,8.1,2637.799,8.14,38.164,1.37204,0.0,-1.0,False,False,False,False,False,247.51,0.0,25.7,91.07,0.0
TRVI,LONG,2025-03-21 13:23:14,DAILY_TA,6.52,639.0695,6.61,-99999.99,7.54199,0.0,-1.0,False,False,False,False,False,-96.86,0.0,36.7,-20.05,0.0
UVIX,LONG,2025-03-21 13:23:14,DAILY_TA,34.96,0.0,0.0,0.0,0.0,0.0,4.0,False,False,False,False,False,-36.72,0.0,3.1,-11.21,0.0
AXGN,LONG,2025-03-21 13:23:14,DAILY_TA,17.71,799.9619,18.04,-99999.99,0.49216,0.0,-2.0,False,False,False,False,False,342.55,0.0,33.9,125.48,0.0
LXU,LONG,2025-03-21 13:23:14,DAILY_TA,7.13,519.4711,7.23,-99999.99,0.28213,0.0,-1.0,False,False,False,False,False,1411.99,0.0,3.5,471.83,0.0
CRVO,LONG,2025-03-21 13:23:14,DAILY_TA,13.98,100.6034,11.56,-99999.99,25.76271,0.0,21.0,False,False,False,False,False,-92.99,0.0,0.3,-30.9,20.0
AUTL,LONG,2025-03-21 13:23:14,DAILY_TA,1.6595,516.2761,1.94,-99999.99,0.88608,0.0,-1.0,False,False,False,False,False,-5.17,0.0,2.7,-0.82,0.0
DOYU,LONG,2025-03-21 13:23:14,DAILY_TA,7.91,252.1355,7.97,-99999.99,0.33418,0.0,-1.0,False,False,False,False,False,-66.98,0.0,17.0,-16.66,0.0
OII,LONG,2025-03-21 13:23:14,DAILY_TA,21.783,2409.533,21.74,15.09041,1.26653,0.0,0.0,False,False,False,False,False,238.87,33.3,3.0,91.72,0.0
TRVG,LONG,2025-03-21 13:23:14,DAILY_TA,4.72,301.6183,4.29,-99999.99,0.0842,0.0,0.0,False,False,False,False,False,-37.65,0.0,19.8,-5.95,0.0
SDA,LONG,2025-03-21 13:23:14,DAILY_TA,4.43,481.1729,4.43,-99999.99,0.22623,0.0,0.0,False,False,False,False,False,-89.01,0.0,100.0,3.66,20.0
MSTZ,LONG,2025-03-21 13:23:14,DAILY_TA,14.45,0.0,0.0,0.0,0.0,0.0,5.0,False,False,False,False,False,-58.22,0.0,0.2,-19.34,0.0
HUYA,LONG,2025-03-21 13:23:14,DAILY_TA,3.21,722.9944,3.21,-99999.99,4.29283,0.0,0.0,False,False,False,False,False,-77.05,0.0,33.0,-14.68,0.0
MTAL,SHORT,2025-03-21 13:23:14,DAILY_TA,10.5,745.5576,10.75,-99999.99,0.47977,0.0,-2.0,False,False,False,True,False,310.82,0.0,4.6,105.14,0.0
