Division,Division Description,Major Group,Major Group Description,Industry Group,Industry Group Description,SIC,Description,GICS,etf_ticker
A,"Agriculture, Forestry, And Fishing",2,Agriculture production livestock and animal specialties,27,Animal Specialties,279,"Animal Specialties, Not Elsewhere Classified",Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",2,Agriculture production livestock and animal specialties,29,"General Farms, Primarily Livestock And Animal",291,"General Farms, Primarily Livestock and Animal Specialties",Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,71,Soil Preparation Services,711,Soil Preparation Services,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,72,Crop Services,721,"Crop Planting, Cultivating, and Protecting",Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,72,Crop Services,722,"Crop Harvesting, Primarily by Machine",Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,72,Crop Services,723,"Crop Preparation Services for Market, Except Cotton Ginning",Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,72,Crop Services,724,Cotton Ginning,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,74,Veterinary Services,741,Veterinary Services for Livestock,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,74,Veterinary Services,742,Veterinary Services for Animal Specialties,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,75,"Animal Services, Except Veterinary",751,"Livestock Services, Except Veterinary",Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,75,"Animal Services, Except Veterinary",752,"Animal Specialty Services, Except Veterinary",Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,76,Farm Labor And Management Services,761,Farm Labor Contractors and Crew Leaders,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,76,Farm Labor And Management Services,762,Farm Management Services,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,78,Landscape And Horticultural Services,781,Landscape Counseling and Planning,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,78,Landscape And Horticultural Services,782,Lawn and Garden Services,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",7,Agricultural Services,78,Landscape And Horticultural Services,783,Ornamental Shrub and Tree Services,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",8,Forestry,81,Timber Tracts,811,Timber Tracts,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",8,Forestry,83,Forest Nurseries And Gathering Of Forest,831,Forest Nurseries and Gathering of Forest Products,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",8,Forestry,85,Forestry Services,851,Forestry Services,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",9,Fishing hunting and trapping,91,Commercial Fishing,912,Finfish,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",9,Fishing hunting and trapping,91,Commercial Fishing,913,Shellfish,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",9,Fishing hunting and trapping,91,Commercial Fishing,919,Miscellaneous Marine Products,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",9,Fishing hunting and trapping,92,Fish Hatcheries And Preserves,921,Fish Hatcheries and Preserves,Consumer Staples,XLP
A,"Agriculture, Forestry, And Fishing",9,Fishing hunting and trapping,97,"Hunting And Trapping, And Game Propagation",971,"Hunting and Trapping, and Game Propagation",Consumer Staples,XLP
B,Mining,10,Metal Mining,101,Iron Ores,1011,Iron Ores,Materials,XLB
B,Mining,10,Metal Mining,102,Copper Ores,1021,Copper Ores,Materials,XLB
B,Mining,10,Metal Mining,103,Lead And Zinc Ores,1031,Lead and Zinc Ores,Materials,XLB
B,Mining,10,Metal Mining,104,Gold And Silver Ores,1041,Gold Ores,Materials,XLB
B,Mining,10,Metal Mining,104,Gold And Silver Ores,1044,Silver Ores,Materials,XLB
B,Mining,10,Metal Mining,106,"Ferroalloy Ores, Except Vanadium",1061,"Ferroalloy Ores, Except Vanadium",Materials,XLB
B,Mining,10,Metal Mining,108,Metal Mining Services,1081,Metal Mining Services,Materials,XLB
B,Mining,10,Metal Mining,109,Miscellaneous Metal Ores,1094,Uranium-Radium-Vanadium Ores,Materials,XLB
B,Mining,10,Metal Mining,109,Miscellaneous Metal Ores,1099,"Miscellaneous Metal Ores, Not Elsewhere Classified",Materials,XLB
B,Mining,12,Coal Mining,122,Bituminous Coal And Lignite Mining,1221,Bituminous Coal and Lignite Surface Mining,Materials,XLB
B,Mining,12,Coal Mining,122,Bituminous Coal And Lignite Mining,1222,Bituminous Coal Underground Mining,Materials,XLB
B,Mining,12,Coal Mining,123,Anthracite Mining,1231,Anthracite Mining,Materials,XLB
B,Mining,12,Coal Mining,124,Coal Mining Services,1241,Coal Mining Services,Materials,XLB
B,Mining,13,Oil And Gas Extraction,131,Crude Petroleum And Natural Gas,1311,Crude Petroleum and Natural Gas,Materials,XLB
B,Mining,13,Oil And Gas Extraction,132,Natural Gas Liquids,1321,Natural Gas Liquids,Materials,XLB
B,Mining,13,Oil And Gas Extraction,138,Oil And Gas Field Services,1381,Drilling Oil and Gas Wells,Materials,XLB
B,Mining,13,Oil And Gas Extraction,138,Oil And Gas Field Services,1382,Oil and Gas Field Exploration Services,Materials,XLB
B,Mining,13,Oil And Gas Extraction,138,Oil And Gas Field Services,1389,"Oil and Gas Field Services, Not Elsewhere Classified",Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",141,Dimension Stone,1411,Dimension Stone,Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",142,"Crushed And Broken Stone, Including Riprap",1422,Crushed and Broken Limestone,Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",142,"Crushed And Broken Stone, Including Riprap",1423,Crushed and Broken Granite,Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",142,"Crushed And Broken Stone, Including Riprap",1429,"Crushed and Broken Stone, Not Elsewhere Classified",Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",144,Sand And Gravel,1442,Construction Sand and Gravel,Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",144,Sand And Gravel,1446,Industrial Sand,Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",145,"Clay, Ceramic, And Refractory Minerals",1455,Kaolin and Ball Clay,Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",145,"Clay, Ceramic, And Refractory Minerals",1459,"Clay, Ceramic, and Refractory Minerals, Not Elsewhere Classified",Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",147,Chemical And Fertilizer Mineral Mining,1474,"Potash, Soda, and Borate Minerals",Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",147,Chemical And Fertilizer Mineral Mining,1475,Phosphate Rock,Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",147,Chemical And Fertilizer Mineral Mining,1479,"Chemical and Fertilizer Mineral Mining, Not Elsewhere Classified",Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",148,"Nonmetallic Minerals Services, Except Fuels",1481,"Nonmetallic Minerals Services, Except Fuels",Materials,XLB
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",149,"Miscellaneous Nonmetallic Minerals, Except",1499,"Miscellaneous Nonmetallic Minerals, Except Fuels",Materials,XLB
C,Construction,15,Building Construction General Contractors And Operative Builders,152,General Building Contractors-residential,1521,General Contractors-Single-Family Houses,Industrials,XLI
C,Construction,15,Building Construction General Contractors And Operative Builders,152,General Building Contractors-residential,1522,"General Contractors-Residential Buildings, Other Than Single-Family",Industrials,XLI
C,Construction,15,Building Construction General Contractors And Operative Builders,153,Operative Builders,1531,Operative Builders,Industrials,XLI
C,Construction,15,Building Construction General Contractors And Operative Builders,154,General Building Contractors-nonresidential,1541,General Contractors-Industrial Buildings and Warehouses,Industrials,XLI
C,Construction,15,Building Construction General Contractors And Operative Builders,154,General Building Contractors-nonresidential,1542,"General Contractors-Nonresidential Buildings, Other than Industrial Buildings and Warehouses",Industrials,XLI
C,Construction,16,Heavy Construction Other Than Building Construction Contractors,161,"Highway And Street Construction, Except",1611,"Highway and Street Construction, Except Elevated Highways",Industrials,XLI
C,Construction,16,Heavy Construction Other Than Building Construction Contractors,162,"Heavy Construction, Except Highway And Street",1622,"Bridge, Tunnel, and Elevated Highway Construction",Industrials,XLI
C,Construction,16,Heavy Construction Other Than Building Construction Contractors,162,"Heavy Construction, Except Highway And Street",1623,"Water, Sewer, Pipeline, and Communications and Power Line Construction",Industrials,XLI
C,Construction,16,Heavy Construction Other Than Building Construction Contractors,162,"Heavy Construction, Except Highway And Street",1629,"Heavy Construction, Not Elsewhere Classified",Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,171,"Plumbing, Heating And Air-conditioning",1711,"Plumbing, Heating and Air-Conditioning",Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,172,Painting And Paper Hanging,1721,Painting and Paper Hanging,Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,173,Electrical Work,1731,Electrical Work,Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,174,"Masonry, Stonework, Tile Setting, And Plastering",1741,"Masonry, Stone Setting, and Other Stone Work",Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,174,"Masonry, Stonework, Tile Setting, And Plastering",1742,"Plastering, Drywall, Acoustical, and Insulation Work",Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,174,"Masonry, Stonework, Tile Setting, And Plastering",1743,"Terrazzo, Tile, Marble, and Mosaic Work",Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,175,Carpentry And Floor Work,1751,Carpentry Work,Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,175,Carpentry And Floor Work,1752,"Floor Laying and Other Floor Work, Not Elsewhere Classified",Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,176,"Roofing, Siding, And Sheet Metal Work",1761,"Roofing, Siding, and Sheet Metal Work",Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,177,Concrete Work,1771,Concrete Work,Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,178,Water Well Drilling,1781,Water Well Drilling,Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,179,Miscellaneous Special Trade Contractors,1791,Structural Steel Erection,Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,179,Miscellaneous Special Trade Contractors,1793,Glass and Glazing Work,Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,179,Miscellaneous Special Trade Contractors,1794,Excavation Work,Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,179,Miscellaneous Special Trade Contractors,1795,Wrecking and Demolition Work,Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,179,Miscellaneous Special Trade Contractors,1796,"Installation or Erection of Building Equipment, Not Elsewhere",Industrials,XLI
C,Construction,17,Construction Special Trade Contractors,179,Miscellaneous Special Trade Contractors,1799,"Special Trade Contractors, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,201,Meat Products,2011,Meat Packing Plants,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,201,Meat Products,2013,Sausages and Other Prepared Meat Products,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,201,Meat Products,2015,Poultry Slaughtering and Processing,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,202,Dairy Products,2021,Creamery Butter,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,202,Dairy Products,2022,"Natural, Processed, and Imitation Cheese",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,202,Dairy Products,2023,"Dry, Condensed, and Evaporated Dairy Products",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,202,Dairy Products,2024,Ice Cream and Frozen Desserts,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,202,Dairy Products,2026,Fluid Milk,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,203,"Canned, Frozen, And Preserved Fruits, Vegetables, and Food Specialties",2032,Canned Specialties,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,203,"Canned, Frozen, And Preserved Fruits, Vegetables, and Food Specialties",2033,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,203,"Canned, Frozen, And Preserved Fruits, Vegetables, and Food Specialties",2034,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,203,"Canned, Frozen, And Preserved Fruits, Vegetables, and Food Specialties",2035,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,203,"Canned, Frozen, And Preserved Fruits, Vegetables, and Food Specialties",2037,"Frozen Fruits, Fruit Juices, and Vegetables",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,203,"Canned, Frozen, And Preserved Fruits, Vegetables, and Food Specialties",2038,"Frozen Specialties, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,204,Grain Mill Products,2041,Flour and Other Grain Mill Products,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,204,Grain Mill Products,2043,Cereal Breakfast Foods,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,204,Grain Mill Products,2044,Rice Milling,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,204,Grain Mill Products,2045,Prepared Flour Mixes and Doughs,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,204,Grain Mill Products,2046,Wet Corn Milling,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,204,Grain Mill Products,2047,Dog and Cat Food,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,204,Grain Mill Products,2048,"Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,205,Bakery Products,2051,"Bread and Other Bakery Products, Except Cookies and Crackers",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,205,Bakery Products,2052,Cookies and Crackers,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,205,Bakery Products,2053,"Frozen Bakery Products, Except Bread",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,206,Sugar And Confectionery Products,2061,"Cane Sugar, Except Refining",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,206,Sugar And Confectionery Products,2062,Cane Sugar Refining,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,206,Sugar And Confectionery Products,2063,Beet Sugar,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,206,Sugar And Confectionery Products,2064,Candy and Other Confectionery Products,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,206,Sugar And Confectionery Products,2066,Chocolate and Cocoa Products,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,206,Sugar And Confectionery Products,2067,Chewing Gum,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,206,Sugar And Confectionery Products,2068,Salted and Roasted Nuts and Seeds,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,207,Fats And Oils,2074,Cottonseed Oil Mills,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,207,Fats And Oils,2075,Soybean Oil Mills,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,207,Fats And Oils,2076,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,207,Fats And Oils,2077,Animal and Marine Fats and Oils,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,207,Fats And Oils,2079,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,208,Beverages,2082,Malt Beverages,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,208,Beverages,2083,Malt,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,208,Beverages,2084,"Wines, Brandy, and Brandy Spirits",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,208,Beverages,2085,Distilled and Blended Liquors,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,208,Beverages,2086,Bottled and Canned Soft Drinks and Carbonated Waters,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,208,Beverages,2087,"Flavoring Extracts and Flavoring Syrups, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,209,Miscellaneous Food Preparations And Kindred,2091,Canned and Cured Fish and Seafoods,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,209,Miscellaneous Food Preparations And Kindred,2092,Prepared Fresh or Frozen Fish and Seafoods,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,209,Miscellaneous Food Preparations And Kindred,2095,Roasted Coffee,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,209,Miscellaneous Food Preparations And Kindred,2096,"Potato Chips, Corn Chips, and Similar Snacks",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,209,Miscellaneous Food Preparations And Kindred,2097,Manufactured Ice,Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,209,Miscellaneous Food Preparations And Kindred,2098,"Macaroni, Spaghetti, Vermicelli, and Noodles",Industrials,XLI
D,Manufacturing,20,Food And Kindred Products,209,Miscellaneous Food Preparations And Kindred,2099,"Food Preparations, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,21,Tobacco Products,211,Cigarettes,2111,Cigarettes,Industrials,XLI
D,Manufacturing,21,Tobacco Products,212,Cigars,2121,Cigars,Industrials,XLI
D,Manufacturing,21,Tobacco Products,213,Chewing And Smoking Tobacco And Snuff,2131,Chewing and Smoking Tobacco and Snuff,Industrials,XLI
D,Manufacturing,21,Tobacco Products,214,Tobacco Stemming And Redrying,2141,Tobacco Stemming and Redrying,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,221,"Broadwoven Fabric Mills, Cotton",2211,"Broadwoven Fabric Mills, Cotton",Industrials,XLI
D,Manufacturing,22,Textile Mill Products,222,"Broadwoven Fabric Mills, Manmade Fiber And Silk",2221,"Broadwoven Fabric Mills, Manmade Fiber and Silk",Industrials,XLI
D,Manufacturing,22,Textile Mill Products,223,"Broadwoven Fabric Mills, Wool (including Dyeing and Finishing)",2231,"Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing)",Industrials,XLI
D,Manufacturing,22,Textile Mill Products,224,"Narrow Fabric And Other Smallwares Mills, Cotton, Wool, Silk, and Manmade Fiber",2241,"Narrow Fabric and Other Smallware Mills: Cotton, Wool, Silk, and Manmade Fiber",Industrials,XLI
D,Manufacturing,22,Textile Mill Products,225,Knitting Mills,2251,"Women's Full-Length and Knee-Length Hosiery, Except Socks",Industrials,XLI
D,Manufacturing,22,Textile Mill Products,225,Knitting Mills,2252,"Hosiery, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,22,Textile Mill Products,225,Knitting Mills,2253,Knit Outerwear Mills,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,225,Knitting Mills,2254,Knit Underwear and Nightwear Mills,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,225,Knitting Mills,2257,Weft Knit Fabric Mills,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,225,Knitting Mills,2258,Lace and Warp Knit Fabric Mills,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,225,Knitting Mills,2259,"Knitting Mills, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,22,Textile Mill Products,226,"Dyeing And Finishing Textiles, Except Wool Fabrics",2261,Finishers of Broadwoven Fabrics of Cotton,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,226,"Dyeing And Finishing Textiles, Except Wool Fabrics",2262,Finishers of Broadwoven Fabrics of Manmade Fiber and Silk,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,226,"Dyeing And Finishing Textiles, Except Wool Fabrics",2269,"Finishers of Textiles, Not elsewhere Classified",Industrials,XLI
D,Manufacturing,22,Textile Mill Products,227,Carpets And Rugs,2273,Carpets and Rugs,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,228,Yarn And Thread Mills,2281,Yarn Spinning Mills,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,228,Yarn And Thread Mills,2282,"Yarn Texturizing, Throwing, Twisting, and Winding Mills",Industrials,XLI
D,Manufacturing,22,Textile Mill Products,228,Yarn And Thread Mills,2284,Thread Mills,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,229,Miscellaneous Textile Goods,2295,"Coated Fabrics, Not Rubberized",Industrials,XLI
D,Manufacturing,22,Textile Mill Products,229,Miscellaneous Textile Goods,2296,Tire Cord and Fabrics,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,229,Miscellaneous Textile Goods,2297,Non-woven Fabrics,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,229,Miscellaneous Textile Goods,2298,Cordage and Twine,Industrials,XLI
D,Manufacturing,22,Textile Mill Products,229,Miscellaneous Textile Goods,2299,"Textile goods, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,231,"Men's And Boys' Suits, Coats, And Overcoats",2311,"Men's and Boys' Suits, Coats, and Overcoats",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,232,"Men's And Boys' Furnishings, Work Clothing, And Allied Garments",2321,"Men's and Boys' Shirts, Except Work Shirts",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,232,"Men's And Boys' Furnishings, Work Clothing, And Allied Garments",2322,Men's and Boys' Underwear and Nightwear,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,232,"Men's And Boys' Furnishings, Work Clothing, And Allied Garments",2323,Men's and Boys' Neckwear,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,232,"Men's And Boys' Furnishings, Work Clothing, And Allied Garments",2325,Men's and Boys' Separate Trousers and Slacks,Industrials,XLI
